on_cpu,new_cpu,old_cpu,pid,jiffies
3,3,6,2552499,4298926984
6,6,4,2552778,4298926984
3,3,6,2552778,4298926984
6,6,3,2552782,4298926984
6,6,4,2552783,4298926984
6,6,1,2552791,4298926984
6,6,4,2552790,4298926984
3,3,1,2552800,4298926985
6,6,13,2552801,4298926985
3,3,6,2552795,4298926985
5,5,4,2551803,4298926986
6,6,4,2552799,4298926985
6,6,3,2552499,4298926985
6,6,3,2552796,4298926985
3,4,3,2552810,4298926986
4,4,1,2552812,4298926986
4,4,6,2552803,4298926986
6,6,5,2551803,4298926986
3,3,1,2552821,4298926986
3,3,7,2552820,4298926986
4,4,5,1913,4298926987
3,4,3,2552816,4298926987
4,3,4,2552817,4298926987
3,3,4,2552468,4298926987
4,4,10,2551830,4298926987
3,3,4,1913,4298926987
4,3,4,2552826,4298926989
4,4,6,2551786,4298926989
3,3,10,2552469,4298926989
3,3,6,2481904,4298926990
3,3,4,2551786,4298926990
3,3,6,1243,4298926990
15,15,14,2551835,4298926996
3,3,15,2551835,4298926996
7,7,27,2551811,4298927000
7,2,3,2551786,4298927000
6,6,3,2481904,4298927002
8,9,8,2550245,4298927009
2,2,3,2551835,4298927009
2,3,2,2551786,4298927009
9,9,8,2550246,4298927010
4,4,16,2551847,4298927018
3,3,4,2551847,4298927018
20,20,28,2551858,4298927031
30,6,30,2551814,4298927040
8,8,29,2551859,4298927041
10,10,11,2551832,4298927043
10,9,10,2551831,4298927044
1,1,23,2551836,4298927047
5,5,9,16,4298927052
5,5,3,2551786,4298927052
14,14,25,2551843,4298927071
5,5,14,2551843,4298927071
12,13,12,952,4298927074
12,12,5,2551786,4298927074
13,13,12,2551845,4298927074
13,12,13,952,4298927074
13,13,31,2551815,4298927075
21,21,26,2551810,4298927078
15,15,19,2551850,4298927086
5,4,5,16,4298927104
3,3,18,2551849,4298927117
11,12,11,4629,4298927119
11,14,12,2551786,4298927119
8,8,6,2481904,4298927121
16,12,10,2551795,4298927126
16,16,17,2551848,4298927126
6,9,8,2481904,4298927128
6,9,6,906,4298927129
12,14,12,945,4298927130
25,0,25,4524,4298927130
22,1,22,2551806,4298927137
5,5,24,2551844,4298927141
13,14,13,4722,4298927144
13,12,14,2551786,4298927144
31,13,31,2551857,4298927158
30,8,30,2551856,4298927165
28,14,28,2551812,4298927169
29,10,29,2551841,4298927169
16,25,16,28135,4298927173
27,6,27,2551855,4298927174
26,5,26,2551842,4298927180
12,17,14,945,4298927185
12,25,12,2551786,4298927185
0,7,6,2551855,4298927186
